Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked,Restock Missing Flag,Stock Value,Days Since Restocked
1102,Gadget Y,Electronics,Warehouse 2,Aisle 1,300.0,9.99,Supplier C,In Stock,,1,2997.0,
1435,Gadget Y,Electronics,Warehouse 2,Aisle 4,0.0,19.99,Supplier C,Out of Stock,,1,0.0,
1860,Widget A,Clothing,Warehouse 2,Aisle 3,100.0,19.99,Supplier B,In Stock,2022-12-20,0,1998.9999999999998,1337.0
1270,Gadget Z,Toys,Warehouse 2,Aisle 4,50.0,49.99,Supplier B,In Stock,2022-12-20,0,2499.5,1337.0
1106,Widget A,Furniture,Warehouse 3,Aisle 3,0.0,9.99,Supplier D,Out of Stock,2023-04-25,0,0.0,1211.0
1071,Widget B,Clothing,Warehouse 3,Aisle 5,300.0,29.99,Supplier A,In Stock,2022-12-20,0,8997.0,1337.0
1700,Widget A,Clothing,Warehouse 2,Aisle 2,0.0,49.99,Supplier B,In Stock,2022-12-20,0,0.0,1337.0
1020,Widget C,Clothing,Warehouse 1,Aisle 5,0.0,9.99,Supplier D,Out of Stock,2022-12-20,0,0.0,1337.0
1614,Gadget Y,Electronics,Warehouse 3,Aisle 3,300.0,9.99,Supplier B,Out of Stock,2023-03-05,0,2997.0,1262.0
1121,Widget B,Toys,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Out of Stock,2022-12-20,0,999.4999999999999,1337.0
1466,Widget A,Clothing,Warehouse 3,Aisle 1,0.0,49.99,Supplier B,In Stock,2023-01-15,0,0.0,1311.0
1214,Gadget Z,Furniture,Warehouse 2,Aisle 1,50.0,9.99,Supplier A,Low Stock,2023-01-15,0,499.5,1311.0
1330,Widget C,Toys,Warehouse 3,Aisle 4,150.0,9.99,Supplier B,In Stock,2023-04-25,0,1498.5,1211.0
1458,Widget C,Furniture,Warehouse 2,Aisle 3,300.0,49.99,Supplier A,Low Stock,2023-03-05,0,14997.0,1262.0
1087,Widget A,Toys,Warehouse 3,Aisle 3,50.0,29.99,Supplier C,Out of Stock,2023-01-15,0,1499.5,1311.0
1372,Gadget Y,Furniture,Warehouse 2,Aisle 1,0.0,49.99,Supplier A,Low Stock,2023-03-05,0,0.0,1262.0
1099,Widget A,Electronics,Warehouse 2,Aisle 5,300.0,49.99,Supplier B,Out of Stock,2023-03-05,0,14997.0,1262.0
1871,Widget B,Clothing,Warehouse 2,Aisle 2,100.0,29.99,Supplier D,Out of Stock,2023-04-25,0,2999.0,1211.0
1663,Widget A,Furniture,Warehouse 2,Aisle 5,50.0,49.99,Supplier C,Low Stock,2023-03-05,0,2499.5,1262.0
1130,Widget C,Toys,Warehouse 1,Aisle 5,300.0,9.99,Supplier B,Out of Stock,2022-12-20,0,2997.0,1337.0
1661,Widget A,Clothing,Warehouse 2,Aisle 1,50.0,49.99,Supplier C,Low Stock,2023-03-05,0,2499.5,1262.0
1308,Gadget Y,Clothing,Warehouse 1,Aisle 1,300.0,29.99,Supplier C,Out of Stock,2023-04-25,0,8997.0,1211.0
1769,Gadget Z,Toys,Warehouse 1,Aisle 1,0.0,29.99,Supplier B,In Stock,2023-04-25,0,0.0,1211.0
1343,Gadget X,Furniture,Warehouse 2,Aisle 4,100.0,49.99,Supplier B,In Stock,2023-04-25,0,4999.0,1211.0
1491,Widget A,Electronics,Warehouse 1,Aisle 5,100.0,19.99,Supplier D,Out of Stock,2023-01-15,0,1998.9999999999998,1311.0
1413,Gadget Y,Electronics,Warehouse 3,Aisle 3,150.0,9.99,Supplier C,Out of Stock,2022-12-20,0,1498.5,1337.0
1805,Gadget Y,Furniture,Warehouse 2,Aisle 2,300.0,9.99,Supplier C,Low Stock,2023-01-15,0,2997.0,1311.0
1385,Gadget Z,Clothing,Warehouse 1,Aisle 4,50.0,19.99,Supplier B,In Stock,,1,999.4999999999999,
1191,Widget C,Clothing,Warehouse 2,Aisle 3,100.0,19.99,Supplier A,Low Stock,2022-12-20,0,1998.9999999999998,1337.0
1955,Gadget Y,Clothing,Warehouse 2,Aisle 5,100.0,49.99,Supplier B,Out of Stock,2023-03-05,0,4999.0,1262.0
1276,Gadget Y,Clothing,Warehouse 2,Aisle 1,0.0,19.99,Supplier C,Out of Stock,2023-04-25,0,0.0,1211.0
1160,Gadget Y,Furniture,Warehouse 1,Aisle 5,0.0,29.99,Supplier B,Low Stock,,1,0.0,
1459,Gadget Y,Clothing,Warehouse 3,Aisle 2,100.0,29.99,Supplier D,Out of Stock,2022-12-20,0,2999.0,1337.0
1313,Widget B,Toys,Warehouse 3,Aisle 4,300.0,19.99,Supplier A,In Stock,2023-01-15,0,5996.999999999999,1311.0
1021,Widget B,Clothing,Warehouse 1,Aisle 4,150.0,19.99,Supplier B,Low Stock,2023-04-25,0,2998.4999999999995,1211.0
1252,Widget C,Electronics,Warehouse 2,Aisle 2,100.0,29.99,Supplier D,In Stock,2023-01-15,0,2999.0,1311.0
1747,Widget A,Clothing,Warehouse 1,Aisle 3,0.0,9.99,Supplier C,In Stock,2022-12-20,0,0.0,1337.0
