product id,product name,category,warehouse,location,quantity,price,supplier,status,last restocked
1102, gadget y ,ELECTRONICS,Warehouse 2,Aisle 1,300.0,9.99,Supplier C,In Stock,2022-12-20
1435, gadget y ,ELECTRONICS,Warehouse 2,Aisle 4,0.0,19.99,Supplier C,Out of Stock,2022-12-20
1860, widget a ,CLOTHING,Warehouse 2,Aisle 3,100.0,19.99,Supplier B,In Stock,2022-12-20
1270, gadget z ,TOYS,Warehouse 2,Aisle 4,50.0,49.99,Supplier B,In Stock,2022-12-20
1106, widget a ,FURNITURE,Warehouse 3,Aisle 3,0.0,9.99,Supplier D,Out of Stock,2023-04-25
1071, widget b ,CLOTHING,Warehouse 3,Aisle 5,300.0,29.99,Supplier A,In Stock,2022-12-20
1700, widget a ,CLOTHING,Warehouse 2,Aisle 2,0.0,49.99,Supplier B,In Stock,2022-12-20
1020, widget c ,CLOTHING,Warehouse 1,Aisle 5,0.0,9.99,Supplier D,Out of Stock,2022-12-20
1614, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,300.0,9.99,Supplier B,Out of Stock,2023-03-05
1121, widget b ,TOYS,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Out of Stock,2022-12-20
1466, widget a ,CLOTHING,Warehouse 3,Aisle 1,0.0,49.99,Supplier B,In Stock,2023-01-15
1214, gadget z ,FURNITURE,Warehouse 2,Aisle 1,50.0,9.99,Supplier A,Low Stock,2023-01-15
1330, widget c ,TOYS,Warehouse 3,Aisle 4,150.0,9.99,Supplier B,In Stock,2023-04-25
1458, widget c ,FURNITURE,Warehouse 2,Aisle 3,300.0,49.99,Supplier A,Low Stock,2023-03-05
1087, widget a ,TOYS,Warehouse 3,Aisle 3,50.0,29.99,Supplier C,Out of Stock,2023-01-15
1372, gadget y ,FURNITURE,Warehouse 2,Aisle 1,0.0,49.99,Supplier A,Low Stock,2023-03-05
1099, widget a ,ELECTRONICS,Warehouse 2,Aisle 5,300.0,49.99,Supplier B,Out of Stock,2023-03-05
1871, widget b ,CLOTHING,Warehouse 2,Aisle 2,100.0,29.99,Supplier D,Out of Stock,2023-04-25
1663, widget a ,FURNITURE,Warehouse 2,Aisle 5,50.0,49.99,Supplier C,Low Stock,2023-03-05
1130, widget c ,TOYS,Warehouse 1,Aisle 5,300.0,9.99,Supplier B,Out of Stock,2022-12-20
1661, widget a ,CLOTHING,Warehouse 2,Aisle 1,50.0,49.99,Supplier C,Low Stock,2023-03-05
1308, gadget y ,CLOTHING,Warehouse 1,Aisle 1,300.0,29.99,Supplier C,Out of Stock,2023-04-25
1769, gadget z ,TOYS,Warehouse 1,Aisle 1,0.0,29.99,Supplier B,In Stock,2023-04-25
1343, gadget x ,FURNITURE,Warehouse 2,Aisle 4,100.0,49.99,Supplier B,In Stock,2023-04-25
1491, widget a ,ELECTRONICS,Warehouse 1,Aisle 5,100.0,19.99,Supplier D,Out of Stock,2023-01-15
1413, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,150.0,9.99,Supplier C,Out of Stock,2022-12-20
1805, gadget y ,FURNITURE,Warehouse 2,Aisle 2,300.0,9.99,Supplier C,Low Stock,2023-01-15
1385, gadget z ,CLOTHING,Warehouse 1,Aisle 4,50.0,19.99,Supplier B,In Stock,2022-12-20
1191, widget c ,CLOTHING,Warehouse 2,Aisle 3,100.0,19.99,Supplier A,Low Stock,2022-12-20
1955, gadget y ,CLOTHING,Warehouse 2,Aisle 5,100.0,49.99,Supplier B,Out of Stock,2023-03-05
1276, gadget y ,CLOTHING,Warehouse 2,Aisle 1,0.0,19.99,Supplier C,Out of Stock,2023-04-25
1160, gadget y ,FURNITURE,Warehouse 1,Aisle 5,0.0,29.99,Supplier B,Low Stock,2022-12-20
1459, gadget y ,CLOTHING,Warehouse 3,Aisle 2,100.0,29.99,Supplier D,Out of Stock,2022-12-20
1313, widget b ,TOYS,Warehouse 3,Aisle 4,300.0,19.99,Supplier A,In Stock,2023-01-15
1021, widget b ,CLOTHING,Warehouse 1,Aisle 4,150.0,19.99,Supplier B,Low Stock,2023-04-25
1252, widget c ,ELECTRONICS,Warehouse 2,Aisle 2,100.0,29.99,Supplier D,In Stock,2023-01-15
1747, widget a ,CLOTHING,Warehouse 1,Aisle 3,0.0,9.99,Supplier C,In Stock,2022-12-20
1856, gadget y ,FURNITURE,Warehouse 1,Aisle 3,50.0,9.99,Supplier B,In Stock,2022-12-20
1560, gadget z ,ELECTRONICS,Warehouse 1,Aisle 4,150.0,49.99,Supplier C,Low Stock,2022-12-20
1474, widget a ,FURNITURE,Warehouse 2,Aisle 4,0.0,29.99,Supplier D,Out of Stock,2023-03-05
1058, gadget z ,FURNITURE,Warehouse 1,Aisle 1,150.0,29.99,Supplier C,In Stock,2023-01-15
1510, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,0.0,29.99,Supplier D,In Stock,2022-12-20
1681, widget c ,FURNITURE,Warehouse 1,Aisle 2,50.0,29.99,Supplier D,In Stock,2023-04-25
1475, gadget y ,FURNITURE,Warehouse 3,Aisle 3,50.0,29.99,Supplier D,Out of Stock,2023-03-05
1699, gadget y ,CLOTHING,Warehouse 1,Aisle 1,0.0,9.99,Supplier B,Out of Stock,2022-12-20
1975, gadget x ,TOYS,Warehouse 1,Aisle 4,300.0,29.99,Supplier C,Low Stock,2023-01-15
1782, gadget z ,FURNITURE,Warehouse 3,Aisle 4,0.0,29.99,Supplier C,Out of Stock,2022-12-20
1189, widget a ,FURNITURE,Warehouse 2,Aisle 1,0.0,29.99,Supplier A,Low Stock,2023-04-25
1957, widget a ,FURNITURE,Warehouse 2,Aisle 2,0.0,29.99,Supplier A,Low Stock,2023-01-15
1686, widget b ,CLOTHING,Warehouse 1,Aisle 4,0.0,29.99,Supplier A,Low Stock,2023-03-05
1957, gadget x ,TOYS,Warehouse 3,Aisle 5,50.0,19.99,Supplier A,Low Stock,2023-03-05
1562, widget b ,ELECTRONICS,Warehouse 2,Aisle 4,150.0,29.99,Supplier C,Low Stock,2022-12-20
1875, widget b ,CLOTHING,Warehouse 1,Aisle 5,0.0,49.99,Supplier D,In Stock,2022-12-20
1566, widget b ,CLOTHING,Warehouse 3,Aisle 1,0.0,49.99,Supplier D,Out of Stock,2023-04-25
1243, gadget z ,TOYS,Warehouse 2,Aisle 1,0.0,9.99,Supplier B,In Stock,2023-04-25
1831, gadget z ,TOYS,Warehouse 2,Aisle 4,300.0,29.99,Supplier D,Low Stock,2022-12-20
1504, widget c ,CLOTHING,Warehouse 3,Aisle 3,50.0,19.99,Supplier C,Out of Stock,2022-12-20
1130, widget c ,ELECTRONICS,Warehouse 3,Aisle 5,0.0,9.99,Supplier C,In Stock,2023-03-05
1484, widget b ,CLOTHING,Warehouse 3,Aisle 2,100.0,29.99,Supplier C,In Stock,2022-12-20
1818, gadget x ,TOYS,Warehouse 3,Aisle 4,150.0,29.99,Supplier B,Low Stock,2022-12-20
1646, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,0.0,49.99,Supplier A,In Stock,2023-01-15
1020, gadget z ,TOYS,Warehouse 3,Aisle 4,300.0,19.99,Supplier D,In Stock,2022-12-20
1840, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,150.0,49.99,Supplier C,In Stock,2023-04-25
1166, gadget y ,FURNITURE,Warehouse 2,Aisle 3,50.0,29.99,Supplier C,In Stock,2022-12-20
1273, gadget z ,TOYS,Warehouse 1,Aisle 3,300.0,29.99,Supplier A,In Stock,2023-04-25
1387, gadget z ,TOYS,Warehouse 2,Aisle 3,0.0,29.99,Supplier C,Low Stock,2022-12-20
1600, widget c ,CLOTHING,Warehouse 2,Aisle 1,0.0,29.99,Supplier D,Low Stock,2022-12-20
1315, widget a ,TOYS,Warehouse 3,Aisle 1,100.0,49.99,Supplier B,In Stock,2023-01-15
1013, widget a ,TOYS,Warehouse 2,Aisle 5,50.0,19.99,Supplier C,Low Stock,2023-04-25
1241, gadget y ,FURNITURE,Warehouse 1,Aisle 2,300.0,29.99,Supplier D,Low Stock,2022-12-20
1776, gadget y ,TOYS,Warehouse 3,Aisle 4,300.0,49.99,Supplier C,Out of Stock,2023-03-05
1345, gadget z ,FURNITURE,Warehouse 3,Aisle 4,0.0,19.99,Supplier A,In Stock,2022-12-20
1564, widget b ,FURNITURE,Warehouse 1,Aisle 1,100.0,29.99,Supplier C,Low Stock,2023-01-15
1897, widget c ,FURNITURE,Warehouse 3,Aisle 4,100.0,29.99,Supplier C,Low Stock,2022-12-20
1339, widget c ,FURNITURE,Warehouse 3,Aisle 1,300.0,9.99,Supplier B,In Stock,2023-03-05
1091, gadget z ,ELECTRONICS,Warehouse 1,Aisle 5,300.0,49.99,Supplier A,Out of Stock,2023-01-15
1366, gadget x ,CLOTHING,Warehouse 3,Aisle 2,150.0,19.99,Supplier A,In Stock,2023-03-05
1955, widget b ,ELECTRONICS,Warehouse 1,Aisle 5,150.0,29.99,Supplier B,Out of Stock,2022-12-20
1454, gadget z ,TOYS,Warehouse 1,Aisle 3,150.0,29.99,Supplier C,In Stock,2022-12-20
1427, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,100.0,19.99,Supplier D,In Stock,2022-12-20
1508, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,0.0,49.99,Supplier A,In Stock,2022-12-20
1775, widget b ,TOYS,Warehouse 3,Aisle 5,0.0,9.99,Supplier A,In Stock,2022-12-20
1942, gadget z ,TOYS,Warehouse 3,Aisle 4,150.0,29.99,Supplier C,Out of Stock,2023-04-25
1034, widget c ,TOYS,Warehouse 1,Aisle 2,0.0,19.99,Supplier C,Out of Stock,2023-03-05
1205, widget c ,ELECTRONICS,Warehouse 3,Aisle 3,50.0,19.99,Supplier A,Low Stock,2023-03-05
1080, widget b ,ELECTRONICS,Warehouse 1,Aisle 3,150.0,19.99,Supplier C,In Stock,2023-03-05
1931, gadget x ,TOYS,Warehouse 1,Aisle 3,0.0,49.99,Supplier D,Out of Stock,2023-04-25
